                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1984,                 5.3143,                 1.3477,                0.00111,                   0.25,                0.00087,                  9e-05,                 3.7729,                  6.643,                  3.003,                      0,                      0,                      0
                      2,                 1.2043,                 3.9153,                 1.1814,                0.95944,                   0.25,                0.24736,                0.19721,                 2.0744,                 4.0885,                  1.825,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                0.50456,                  2.219,                0.83141,                0.49069,                   0.25,                0.26377,                0.20403,                 1.5985,                 5.2483,                 1.5202,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                0.51006,                 1.8035,                0.87823,                0.65484,                    0.5,                0.41634,                0.22426,                 1.5448,                 4.8057,                 1.3302,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                0.36529,                 1.5306,                0.86692,                0.48892,                 0.7223,                 0.5371,                0.32969,                 1.4264,                 5.8248,                 1.1427,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                 0.6952,                 2.1485,                0.70916,                0.59264,                 0.7316,                0.64543,                0.39686,                  1.504,                 4.5035,                 1.2088,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                0.96993,                 2.2184,                 1.1694,                0.95713,                    0.5,                0.49967,                0.34677,                 1.6735,                 2.9928,                  1.352,             0.00010574,             0.00010574,             0.00010574
                      8,                0.55303,                 1.4475,                0.86677,                 0.9678,                    0.5,                0.49557,                0.29695,                 1.7438,                 4.0691,                 1.4515,              0.0001206,              0.0001206,              0.0001206
                      9,                0.40737,                 1.2999,                0.88894,                0.46833,                   0.25,                0.12483,                 0.0991,                 2.2456,                 9.1398,                 1.6176,             0.00013466,             0.00013466,             0.00013466
                     10,                0.54739,                 2.3498,                0.96395,                0.10553,                   0.25,                0.03774,                0.02195,                 2.3903,                 11.905,                 1.8045,             0.00014792,             0.00014792,             0.00014792
                     11,                 1.1449,                  6.921,                0.86608,                0.01054,                   0.25,                0.00496,                0.00248,                 3.2463,                 16.204,                 2.8707,              0.0001604,              0.0001604,              0.0001604
                     12,                0.78306,                 1.3974,                0.97941,                0.00111,                   0.25,                0.00166,                  0.001,                 2.8063,                 11.181,                 2.4243,             0.00017208,             0.00017208,             0.00017208
                     13,                0.78843,                  1.128,                0.83938,                0.04053,                   0.25,                0.01483,                0.01038,                   2.48,                 9.7975,                 2.1243,             0.00018298,             0.00018298,             0.00018298
